lower Production,upper Production
83506449.8191166,119565892.16232914
87975890.21219954,129303356.5894952
79974150.90745735,120105888.93072069
78483799.52689376,120383251.446141
64170805.21865329,100415610.31618813
63650375.44729569,101527851.75974885
59197949.579311915,96178958.67559533
60026852.34387741,99269742.94042411
54496928.92443758,91680919.17233486
55690709.44519471,95255104.66265069
59562296.4651149,103528464.79808319
65409578.94475048,115482212.72451995
74434019.56456342,133428634.98408648
78202807.84348145,143385199.90985107
69575076.05662806,130127896.9492595
69073474.69034582,131758629.4580947
57453512.717840835,111696816.4742083
57378099.25102749,113633557.24289691
52709076.91829668,106284024.51834404
53331351.64392285,109443980.35163744
48799563.702104285,101875536.53902733
49038580.65140498,104103920.5151932
52640996.943805225,113597848.63123593
57966012.411765434,127112348.65046692
64888032.213624656,144546529.99132204
